ID;Nazwa;ID TRAM;ID BUS;Lat;Lon;Strefa;Dzielnica;Ulica;Exit-only (E)/Tram (T)/Bus (B);NŻ;Ex ID;Ex Nazwa
937-2;Wilczy Stok 02;;937-02;50.068234166;19.853086111;;;;;;;
838-2;Wileńska 02;;838-02;50.082310555;19.953888333;;;;;;;
594-1;Wilga 01;;594-01;49.995118611;19.930391388;;;;;;;
594-2;Wilga 02;;594-02;49.994896111;19.930591388;;;;;;;
2866-1;Wilków Kaplica 01;;2866-01;50.179183055;20.108693611;;;;;;;
2866-2;Wilków Kaplica 02;;2866-02;50.179173055;20.109337500;;;;;;;
2867-1;Wilków Pętla 01;;2867-01;50.177526388;20.109830833;;;;;;;
785-1;Winnicka 01;;785-01;50.020063333;19.871136666;;;;;;;
785-2;Winnicka 02;;785-02;50.019834166;19.872176666;;;;;;;
132-1;Wiślicka 01;;132-01;50.087799722;20.000508333;;;;;;;
132-2;Wiślicka 02;;132-02;50.087575833;20.002118055;;;;;;;
132-3;Wiślicka 03;;132-03;50.087180;20.001260;;;;;;;
132-4;Wiślicka 04;;132-04;50.088159166;20.001520277;;;;;;;
428-1;Witkowice 01;;428-01;50.107378888;19.942298055;;;;;;;
428-2;Witkowice 02;;428-02;50.108748888;19.943231944;;;;;;;
428-3;Witkowice 03;;428-03;50.108553055;19.943073333;;;;;;;
427-1;Witkowice Nowe 01;;427-01;50.104908888;19.944503333;;;;;;;
427-2;Witkowice Nowe 02;;427-02;50.105408888;19.944000277;;;;;;;
914-1;Witkowicka 01;;914-01;50.109084722;19.965862500;;;;;;;
914-2;Witkowicka 02;;914-02;50.108553333;19.965409444;;;;;;;
583-1;Witosa 01;583-1t;;50.012338;19.956857;;;;;;;
583-2;Witosa 02;583-2t;;50.012424;19.95579;;;;;;;
583-3;Witosa 03;;583-03;50.012427500;19.957137500;;;;;;;
583-4;Witosa 04;;583-04;50.012821388;19.955670277;;;;;;;
919-2;Wizjonerów 02;;919-02;50.083491;19.886478;I;Bronowice;ul. Wizjonerów;B;;;
647-1;Wlotowa 01;647-1t;;50.019364;19.988113;;;;;;;
647-2;Wlotowa 02;647-2t;;50.019553;19.987851;;;;;;;
647-3;Wlotowa 03;;647-03;50.018868611;19.988107500;;;;;;;
